procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  14168 118676  37560 1183140    0    0     0     0 2594  357  1 20 79  0  0
 0  0  14168 118676  37560 1183140    0    0     0     0 2521  363  2 19 79  0  0
 0  0  14168 118676  37560 1183144    0    0     0     0 2689  367  0 20 80  0  0
 0  0  14168 118676  37560 1183144    0    0     0     0 2338  358  1 13 86  0  0
 0  0  14168 118676  37568 1183148    0    0     0    16 3460  929  8 23 66  2  0
 0  0  14168 118676  37568 1183148    0    0     0     0 2885  378  1 20 79  0  0
 0  0  14168 118676  37568 1183152    0    0     0     0 2489  310  1 15 84  0  0
 0  0  14168 118676  37568 1183152    0    0     0     0 2703  292  1 17 82  0  0
 0  0  14168 118676  37568 1183152    0    0     0     0 3224  375  2 19 79  0  0
 0  0  14168 118676  37576 1183156    0    0     0    16 2459  362  0 17 83  0  0
 0  0  14168 118676  37576 1183156    0    0     0     0 3523  344  2 21 77  0  0
 0  0  14168 118668  37576 1183160    0    0     0     0 2848  326  1 18 81  0  0
 0  0  14168 118668  37576 1183160    0    0     0    64 3051  377  3 19 78  0  0
 0  0  14168 118676  37576 1183164    0    0     0     0 2007  274  0 16 84  0  0
 0  0  14168 118676  37584 1183164    0    0     0    24 2016  279  0 12 88  0  0
 0  0  14168 118668  37584 1183168    0    0     0     0 2999  353  1 19 80  0  0
 0  0  14168 118676  37584 1183168    0    0     0     0 1994  275  0 15 85  0  0
 0  0  14168 118676  37584 1183168    0    0     0    20 2885  357  1 19 80  0  0
 0  0  14168 118676  37584 1183172    0    0     0     0 2721  430  2 19 79  0  0
 0  0  14168 118676  37592 1183172    0    0     0    16 2076  271  0 14 85  1  0
 0  0  14168 118676  37592 1183176    0    0     0     0 2840  320  0 18 82  0  0
 0  0  14168 118676  37592 1183176    0    0     0     0 2827  312  1 17 82  0  0
 0  0  14168 118676  37592 1183184    0    0     0     0 2673  315  1 17 82  0  0
 0  0  14168 118676  37592 1183184    0    0     0     0 2833  379  2 20 78  0  0
 0  0  14168 118676  37600 1183188    0    0     0    16 3554  392  1 25 74  0  0
 0  0  14168 118676  37600 1183188    0    0     0     0 2626  314  1 15 84  0  0
 0  0  14168 118668  37600 1183188    0    0     0     0 3945  351  2 22 76  0  0
 0  0  14168 118676  37600 1183192    0    0     0     0 2793  323  0 19 81  0  0
 0  0  14168 118668  37600 1183192    0    0     0     0 2451  298  1 15 84  0  0
 0  0  14168 118668  37608 1183196    0    0     0    16 3624  356  1 22 77  0  0
 0  0  14168 118676  37608 1183196    0    0     0     0 2105  291  1 16 83  0  0
 0  0  14168 118676  37608 1183200    0    0     0     0 1928  260  1 13 86  0  0
 0  0  14168 118676  37608 1183200    0    0     0     0 2644  753  6 21 73  0  0
 0  0  14168 118676  37608 1183204    0    0     0     0 2818  428  1 18 81  0  0
 0  0  14168 118676  37616 1183204    0    0     0    16 3558  416  2 24 74  0  0
 0  0  14168 118676  37616 1183204    0    0     0     0 2608  354  1 16 82  0  0
 0  0  14168 118676  37616 1183208    0    0     0     0 2040  264  2 15 83  0  0
 0  0  14168 118668  37616 1183208    0    0     0     0 1833  241  1 10 89  0  0
 0  0  14168 118668  37616 1183212    0    0     0     0 3215  333  2 18 80  0  0
 0  0  14168 118676  37624 1183212    0    0     0    16 3231  409  1 23 76  0  0
 0  0  14168 118676  37624 1183216    0    0     0     0 2563  309  1 17 82  0  0
 0  0  14168 118676  37624 1183216    0    0     0     0 2986  336  0 19 81  0  0
 0  0  14168 118676  37624 1183220    0    0     0     0 2421  283  2 15 83  0  0
 0  0  14168 118676  37624 1183220    0    0     0    68 2445  291  1 15 84  0  0
 0  0  14168 118668  37632 1183220    0    0     0    28 3486  364  1 20 79  0  0
