procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 747616  48436 612092    0    0     0     0 1237  451  3  8 89  0  0
 0  0      0 747616  48436 612092    0    0     0     0 1041  365  3  8 89  0  0
 0  0      0 747616  48444 612096    0    0     0    24 1267  371  2  8 89  1  0
 1  0      0 747616  48444 612100    0    0     0     0 1011  348  0  7 93  0  0
 0  0      0 747616  48444 612100    0    0     0     0 1242  404  1 10 89  0  0
 0  0      0 747616  48444 612104    0    0     0     0 1163  346  1  8 91  0  0
 0  0      0 747616  48444 612108    0    0     0     0 1073  368  0  7 93  0  0
 0  0      0 747616  48452 612112    0    0     0    16  978  335  0  7 90  3  0
 0  0      0 747616  48452 612112    0    0     0    96 1018  288  1  4 95  0  0
 0  0      0 747616  48452 612116    0    0     0     0 1180  353  0  8 92  0  0
 0  0      0 747616  48452 612120    0    0     0     0 1270  333  1 11 88  0  0
 0  0      0 747616  48452 612124    0    0     0     0  952  336  2  7 91  0  0
 2  0      0 747616  48460 612116    0    0     0    28 1042  333  1  7 91  1  0
 1  0      0 747616  48460 612128    0    0     0   116 1239  373  0  9 89  2  0
 0  0      0 747616  48460 612132    0    0     0     0 1006  335  1  6 93  0  0
 0  0      0 747616  48460 612136    0    0     0     0 1254  393  1 10 89  0  0
 0  0      0 747616  48460 612136    0    0     0     0 1288  389  1 10 89  0  0
 0  0      0 747616  48468 612140    0    0     0    20 1071  316  0  8 88  4  0
 0  0      0 747616  48468 612144    0    0     0   712 1102  371  0  8 90  2  0
 0  0      0 747616  48468 612148    0    0     0     0 1219  327  2  8 90  0  0
 0  0      0 747616  48468 612148    0    0     0     0  951  314  1  7 92  0  0
 0  0      0 747616  48468 612156    0    0     0     0 1056  426  2  7 91  0  0
 0  0      0 747616  48476 612160    0    0     0    36 1170  374  1  8 83  8  0
 1  0      0 747616  48476 612160    0    0     0     0 1009  346  0  8 92  0  0
 2  0      0 747616  48476 612160    0    0     0     0 1114  357  1  7 92  0  0
 0  0      0 747616  48476 612168    0    0     0     0 1035  341  0  7 93  0  0
 0  0      0 747616  48476 612168    0    0     0     0 1110  308  1 10 89  0  0
 0  0      0 747616  48484 612172    0    0     0    16 1393  416  0  8 92  0  0
 2  0      0 747616  48484 612176    0    0     0     0 1389  384  1 10 89  0  0
 0  0      0 747616  48484 612180    0    0     0     0 1150  342  1  6 93  0  0
 0  0      0 747616  48484 612180    0    0     0     0 1394  330  1 12 87  0  0
 0  0      0 747616  48484 612184    0    0     0     0 1114  335  2  9 89  0  0
 0  0      0 747616  48492 612176    0    0     0    16  930  287  0  8 91  1  0
 1  0      0 747616  48492 612188    0    0     0     0 1066  400  1  7 92  0  0
 0  0      0 747616  48492 612188    0    0     0     0 1255  364  0  9 91  0  0
 0  0      0 747616  48492 612196    0    0     0     0  785  316  1  4 95  0  0
 0  0      0 747616  48492 612196    0    0     0     0 1208  337  1  4 95  0  0
 0  0      0 747616  48500 612200    0    0     0    16 1265  367  0  8 91  1  0
 0  0      0 747616  48500 612200    0    0     0    92 1161  360  2  7 91  0  0
 0  0      0 747616  48500 612208    0    0     0     0 1287  348  0  9 91  0  0
 0  0      0 747616  48500 612208    0    0     0     0 1230  345  1  8 91  0  0
 0  0      0 747616  48500 612212    0    0     0     0  883  417  2  6 92  0  0
 0  0      0 747364  48508 612220    0    0     0    28 1191  420  0  9 86  5  0
 1  0      0 747364  48508 612224    0    0     0     0 1075  289  0  6 94  0  0
 2  0      0 747364  48508 612224    0    0     0     8  994  317  0  4 96  0  0
 0  0      0 747364  48508 612228    0    0     0     0 1203  395  0  9 91  0  0
 0  0      0 747364  48508 612228    0    0     0     0 1263  402  0  9 91  0  0
 0  0      0 747364  48516 612232    0    0     0    24 1005  350  0 11 89  0  0
 1  0      0 747364  48516 612240    0    0     0     0  996  344  2  6 92  0  0
 0  0      0 747364  48516 612244    0    0     0    36 1095  366  0  8 92  0  0
 0  0      0 747364  48516 612244    0    0     0     0  925  341  1  4 95  0  0
 0  0      0 747364  48516 612248    0    0     0     0 1182  434  2  7 91  0  0
 0  0      0 747364  48524 612252    0    0     0    16 1364  452  1  8 88  3  0
 1  0      0 747364  48524 612256    0    0     0     0 1291  359  1  9 90  0  0
 0  0      0 747364  48524 612260    0    0     0     0 1207  400  0  7 93  0  0
 0  0      0 747364  48524 612260    0    0     0     0 1152  325  1  8 91  0  0
 0  0      0 747364  48524 612264    0    0     0     0  959  337  0  9 91  0  0
 0  0      0 747364  48524 612268    0    0     0     0 1226  422  1  8 91  0  0
 0  0      0 747364  48532 612260    0    0     0    16 1143  423  0 10 86  4  0
 0  0      0 747364  48532 612272    0    0     0     0 1161  337  1  9 90  0  0
 0  0      0 747364  48532 612276    0    0     0     0 1309  397  0  9 91  0  0
 0  0      0 747364  48532 612280    0    0     0     0 1378  422  3  8 89  0  0
 0  0      0 747364  48532 612280    0    0     0     0 1144  337  0  8 92  0  0
 1  0      0 747364  48540 612284    0    0     0    16 1432  417  1 10 87  2  0
 0  0      0 747364  48540 612288    0    0     0     0 1053  410  1  8 91  0  0
 0  0      0 747364  48540 612288    0    0     0     0  906  355  0  9 91  0  0
 0  0      0 747364  48540 612292    0    0     0     0 1041  404  2  6 92  0  0
 0  0      0 747364  48540 612296    0    0     0     0  961  343  0  7 93  0  0
 0  0      0 747364  48548 612296    0    0     0    16 1036  360  1  8 90  1  0
 0  0      0 747364  48548 612304    0    0     0    92 1347  377  0  8 92  0  0
 0  0      0 747364  48548 612308    0    0     0     0 1167  419  0  9 91  0  0
 0  0      0 747364  48548 612312    0    0     0     0  911  395  2  7 91  0  0
 0  0      0 747364  48548 612312    0    0     0     0 1260  383  0  9 91  0  0
 0  0      0 747364  48556 612316    0    0     0    28 1040  374  0  8 91  1  0
 0  0      0 747364  48556 612320    0    0     0     0  978  335  0  8 92  0  0
 0  0      0 747364  48556 612324    0    0     0     0 1174  457  0  9 91  0  0
 0  0      0 747364  48556 612324    0    0     0     0 1114  344  1  7 92  0  0
 0  0      0 747364  48556 612328    0    0     0     0 1007  326  0  5 95  0  0
 0  0      0 747364  48564 612332    0    0     0    16 1070  351  0  9 89  1  0
 0  0      0 747364  48564 612336    0    0     0    52  712  279  0  5 95  0  0
 0  0      0 747364  48564 612336    0    0     0     0  778  370  2  6 92  0  0
 0  0      0 747364  48564 612340    0    0     0     0 1136  417  2  5 93  0  0
 0  0      0 747364  48564 612344    0    0     0     0 1286  365  1 12 87  0  0
 1  0      0 747364  48572 612344    0    0     0    32  907  330  1  6 87  6  0
 0  0      0 747364  48572 612348    0    0     0     0 1085  348  1  4 95  0  0
 0  0      0 747364  48572 612352    0    0     0     0 1212  373  1  9 90  0  0
 0  0      0 747364  48572 612352    0    0     0     0  818  329  0  7 93  0  0
 0  0      0 747364  48572 612356    0    0     0     0 1141  423  0  8 92  0  0
 0  0      0 747364  48580 612360    0    0     0    16 1355  487  0  8 92  0  0
 0  0      0 747364  48580 612364    0    0     0     0 1100  363  2  9 89  0  0
 0  0      0 747364  48580 612364    0    0     0     0 1089  289  0  8 92  0  0
 0  0      0 747364  48580 612368    0    0     0     0  894  347  3  7 90  0  0
 0  0      0 747364  48580 612372    0    0     0     0  855  330  0  5 95  0  0
 1  0      0 747364  48588 612376    0    0     0    16 1271  385  0 10 84  6  0
 0  0      0 747364  48588 612376    0    0     0     0  964  361  0  9 91  0  0
 0  0      0 747364  48588 612380    0    0     0     0 1021  317  0  7 93  0  0
 0  0      0 747364  48588 612384    0    0     0     0 1178  405  0  9 91  0  0
 0  0      0 747364  48588 612384    0    0     0     0 1057  328  1  7 92  0  0
 0  0      0 747364  48596 612388    0    0     0    16  914  356  1  5 91  3  0
 0  0      0 747364  48596 612392    0    0     0     0 1151  436  1  7 92  0  0
 0  0      0 747364  48596 612396    0    0     0     0 1221  371  0 11 89  0  0
 0  0      0 747364  48596 612396    0    0     0     0 1172  361  3  7 90  0  0
 0  0      0 747364  48596 612404    0    0     0     0  935  351  0  7 93  0  0
 0  0      0 747364  48604 612408    0    0     0    16 1157  292  1 10 87  2  0
 0  0      0 747364  48604 612408    0    0     0     0  963  301  0  6 94  0  0
 0  0      0 747364  48604 612412    0    0     0     0 1184  404  1  8 91  0  0
 0  0      0 747364  48604 612416    0    0     0     0 1344  395  1  8 91  0  0
 1  0      0 747364  48604 612420    0    0     0     0  892  326  1  7 92  0  0
 0  0      0 747364  48612 612420    0    0     0    20 1314  356  1 11 83  5  0
 0  0      0 747364  48612 612424    0    0     0     0 1225  324  1  9 90  0  0
 0  0      0 747364  48612 612428    0    0     0    96 1024  326  0  9 91  0  0
 0  0      0 747364  48612 612432    0    0     0     0 1273  397  3  9 88  0  0
 0  0      0 747364  48612 612432    0    0     0     0 1298  404  0 11 89  0  0
 1  0      0 747364  48620 612436    0    0     0    28 1127  335  0  8 86  6  0
 0  0      0 747364  48620 612440    0    0     0     0 1173  336  0  9 91  0  0
 0  0      0 747364  48620 612440    0    0     0    20 1130  316  0  7 93  0  0
 0  0      0 747364  48620 612444    0    0     0     0 1197  330  2  7 91  0  0
 0  0      0 747364  48620 612448    0    0     0     0 1229  360  0  8 92  0  0
 0  0      0 747364  48628 612452    0    0     0    16 1542  352  1 12 85  2  0
 0  0      0 747364  48628 612452    0    0     0     0 1187  347  1  9 90  0  0
 0  0      0 747364  48628 612460    0    0     0     0 1300  427  0  8 92  0  0
 0  0      0 747364  48628 612464    0    0     0     0  942  399  3  6 91  0  0
 0  0      0 747364  48628 612464    0    0     0     0 1017  362  1  7 92  0  0
 1  0      0 747364  48636 612468    0    0     0    16 1324  403  1  8 91  0  0
 0  0      0 747364  48636 612472    0    0     0     0 1420  447  0 10 90  0  0
 0  0      0 747364  48636 612476    0    0     0     0 1086  317  1  6 93  0  0
 0  0      0 747364  48636 612476    0    0     0     0 1126  360  2  7 91  0  0
 0  0      0 747364  48636 612480    0    0     0     0  890  354  0  6 94  0  0
 0  0      0 747364  48644 612484    0    0     0    16 1187  374  0  7 91  2  0
 0  0      0 747364  48644 612484    0    0     0     0 1058  391  0  8 92  0  0
 0  0      0 747364  48644 612488    0    0     0     0  887  344  1  9 90  0  0
 0  0      0 747364  48644 612492    0    0     0     0  991  373  3  7 90  0  0
 0  0      0 747364  48644 612496    0    0     0     0  969  347  1  6 93  0  0
 0  0      0 747364  48652 612496    0    0     0    16  943  345  1  6 91  2  0
 0  0      0 747364  48652 612500    0    0     0     0 1224  362  0  9 91  0  0
 0  0      0 747364  48652 612504    0    0     0     0 1137  369  1  8 91  0  0
 0  0      0 747364  48652 612508    0    0     0     0  971  357  0  9 91  0  0
 0  0      0 747364  48652 612508    0    0     0     0 1008  312  0  6 94  0  0
 0  0      0 747364  48660 612512    0    0     0    16 1317  391  2  8 89  1  0
 0  0      0 747364  48660 612516    0    0     0     0  958  293  0  8 92  0  0
 0  0      0 747364  48660 612516    0    0     0     0 1043  277  0  4 96  0  0
 0  0      0 747364  48660 612520    0    0     0   100 1342  424  3 11 86  0  0
 0  0      0 747364  48660 612524    0    0     0     0 1056  339  0  8 92  0  0
 0  0      0 747364  48668 612532    0    0     0    32 1167  426  2  7 91  0  0
 0  0      0 747364  48668 612532    0    0     0     0 1334  369  1  8 91  0  0
 0  0      0 747364  48668 612536    0    0     0     0 1222  393  1  8 91  0  0
 1  0      0 747364  48668 612540    0    0     0     0  818  322  0  5 95  0  0
 0  0      0 747364  48668 612540    0    0     0     0 1329  421  0 11 89  0  0
 0  0      0 747364  48676 612544    0    0     0    16 1072  379  1  9 86  4  0
 0  0      0 747364  48676 612548    0    0     0     0 1128  370  1  6 93  0  0
 0  0      0 747364  48676 612552    0    0     0     0  960  394  0  8 92  0  0
 0  0      0 747364  48676 612552    0    0     0    52  969  349  2  4 94  0  0
 2  0      0 747364  48676 612556    0    0     0     0  863  339  1  4 95  0  0
 0  0      0 747364  48684 612560    0    0     0    28 1020  380  0  6 92  2  0
 0  0      0 747364  48684 612564    0    0     0     0 1277  389  0  9 91  0  0
 0  0      0 747364  48684 612564    0    0     0     0 1005  380  1  6 93  0  0
 0  0      0 747364  48684 612572    0    0     0     0  729  331  0  3 97  0  0
 0  0      0 747364  48684 612576    0    0     0     0 1167  298  1  7 92  0  0
 0  0      0 747364  48692 612576    0    0     0    16  930  319  0  6 91  3  0
 0  0      0 747364  48692 612580    0    0     0     0  886  404  0  6 94  0  0
 0  0      0 747364  48692 612584    0    0     0     0 1107  408  2  8 90  0  0
 0  0      0 747364  48692 612588    0    0     0     0 1007  312  1  7 92  0  0
 0  0      0 747364  48692 612588    0    0     0     0  847  304  1  7 92  0  0
 3  0      0 747108  48692 612592    0    0     0     0 1121  351  0  7 93  0  0
 0  0      0 747364  48700 612596    0    0     0    16 1045  331  1  7 89  3  0
 0  0      0 747364  48700 612596    0    0     0     0 1230  325  1  8 91  0  0
 0  0      0 747364  48700 612600    0    0     0     0 1461  420  0 12 88  0  0
 0  0      0 747364  48700 612604    0    0     0     0 1329  366  1  8 91  0  0
 1  0      0 747172  48700 612608    0    0     0     0 1121  371  1  9 90  0  0
 0  0      0 747364  48708 612608    0    0     0    16 1329  432  1  8 89  2  0
 0  0      0 747364  48708 612616    0    0     0     0  824  297  1  6 93  0  0
 0  0      0 747364  48708 612620    0    0     0     0 1150  413  2  7 91  0  0
 0  0      0 747364  48708 612624    0    0     0     0 1301  421  0 11 89  0  0
 0  0      0 747364  48708 612624    0    0     0     0  756  288  1  5 94  0  0
 0  0      0 747364  48716 612628    0    0     0    16 1265  421  2 11 83  4  0
 0  0      0 747364  48716 612632    0    0     0     0  777  269  1  4 95  0  0
 1  0      0 747172  48716 612632    0    0     0     0  702  286  0  6 94  0  0
 2  0      0 747364  48716 612636    0    0     0     0 1222  320  0  7 93  0  0
 0  0      0 747364  48716 612640    0    0     0     0 1288  460  2  8 90  0  0
 0  0      0 747364  48724 612640    0    0     0    16 1024  379  1  7 90  2  0
 0  0      0 747364  48724 612644    0    0     0     0 1128  364  1  5 94  0  0
 0  0      0 747364  48724 612648    0    0     0     0 1121  402  2  8 90  0  0
 1  0      0 747364  48724 612652    0    0     0   104 1247  385  1  6 93  0  0
 0  0      0 747364  48724 612652    0    0     0     0 1286  457  1  8 91  0  0
 0  0      0 747364  48732 612656    0    0     0    32 1310  417  0  9 89  2  0
 0  0      0 747364  48732 612660    0    0     0     0  946  317  2  5 93  0  0
 2  0      0 747364  48732 612664    0    0     0     0 1116  375  0  7 92  1  0
 1  0      0 747044  48732 612664    0    0     0    16 1159  330  0 10 90  0  0
 0  0      0 747364  48732 612668    0    0     0     0  966  287  1  7 92  0  0
 1  0      0 747236  48740 612672    0    0     0    16  957  366  1  9 89  1  0
 3  0      0 747044  48740 612672    0    0     0     0 1330  381  2 11 86  0  0
 2  0      0 746916  48740 612676    0    0     0     0  977  330  2  7 91  0  0
 2  0      0 747236  48740 612680    0    0     0     0 1106  347  0  6 94  0  0
 1  0      0 747044  48740 612684    0    0     0     0  870  338  0  9 91  0  0
 2  0      0 747108  48748 612684    0    0     0    16 1279  353  0 13 85  2  0
 1  0      0 747108  48748 612688    0    0     0     0 1090  355  2  7 91  0  0
 0  0      0 747364  48748 612692    0    0     0     0  987  369  0 11 89  0  0
 1  0      0 747300  48748 612692    0    0     0     0 1094  404  0  8 92  0  0
 2  0      0 746916  48748 612696    0    0     0    52  844  356  1  5 94  0  0
 0  0      0 747364  48756 612700    0    0     0    32 1263  368  1  8 86  5  0
 4  0      0 747108  48756 612700    0    0     0     0  902  391  0  8 92  0  0
 0  0      0 747364  48756 612704    0    0     0     0 1263  439  2  8 90  0  0
