timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1609841890575,184,HTTP Request - YouTube Pag2,200,OK,Thread Group - Slow 1-35,text,true,,4036890,132,40,60,http://192.168.56.101/YouTubePag2.html,10,0,0
1609841891031,7,HTTP Request - Wikipedia Pag4,200,OK,Thread Group - Slow 1-24,text,true,,202562,134,40,60,http://192.168.56.101/WikipediaPag4.html,3,0,0
1609841891025,15,HTTP Request - Repubblica Pag3,200,OK,Thread Group - Slow 1-30,text,true,,1517285,135,40,60,http://192.168.56.101/RepubblicaPag3.html,2,0,0
1609841891057,6,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Fast 2-15,text,true,,158621,134,20,60,http://192.168.56.101/WikipediaPag1.html,2,0,0
1609841891049,16,HTTP Request - Wikipedia Pag2,200,OK,Thread Group - Slow 1-6,text,true,,131694,134,40,60,http://192.168.56.101/WikipediaPag2.html,16,0,0
1609841891041,28,HTTP Request - Repubblica Pag2,200,OK,Thread Group - Slow 1-36,text,true,,1542999,135,40,60,http://192.168.56.101/RepubblicaPag2.html,0,0,0
1609841891047,33,HTTP Request - Repubblica Home,200,OK,Thread Group - Slow 1-18,text,true,,1968023,135,40,60,http://192.168.56.101/RepubblicaHome.html,7,0,0
1609841891066,18,HTTP Request - Repubblica Pag4,200,OK,Thread Group - Fast 2-6,text,true,,1530300,135,20,60,http://192.168.56.101/RepubblicaPag4.html,3,0,0
1609841891085,24,HTTP Request - Repubblica Home,200,OK,Thread Group - Fast 2-3,text,true,,1968023,135,20,60,http://192.168.56.101/RepubblicaHome.html,0,0,0
1609841891074,38,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Slow 1-12,text,true,,1549877,135,40,60,http://192.168.56.101/RepubblicaPag1.html,5,0,0
1609841891108,14,HTTP Request - Repubblica Pag2,200,OK,Thread Group - Fast 2-12,text,true,,1542999,135,20,60,http://192.168.56.101/RepubblicaPag2.html,3,0,0
1609841891139,10,HTTP Request - Repubblica Pag3,200,OK,Thread Group - Fast 2-9,text,true,,1517285,135,20,60,http://192.168.56.101/RepubblicaPag3.html,1,0,0
1609841891143,31,HTTP Request - YouTube Home,200,OK,Thread Group - Fast 2-18,text,true,,4159635,132,20,60,http://192.168.56.101/YouTubeHome.html,4,0,0
