procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 265984 475588  40476 962648    0    0     0     0 6007  496  1 34 65  0  0
 0  0 265984 475572  40476 962648    0    0     0     0 6227  523  1 30 69  0  0
 0  0 265984 475604  40476 962652    0    0     0     0 6234  598  1 36 63  0  0
 0  0 265984 475604  40480 962656    0    0     0    24 5703  558  2 28 70  0  0
 1  0 265984 475048  40480 962660    0    0     0     0 7174  579  0 36 64  0  0
 0  0 265984 475344  40480 962664    0    0     0     0 6327  622  1 33 66  0  0
 0  0 265984 475320  40480 962668    0    0     0     0 6234  664  3 34 63  0  0
 0  0 265984 475352  40480 962672    0    0     0     0 4719  494  1 28 71  0  0
 0  0 265984 475344  40488 962676    0    0     0    16 6156  611  2 30 67  1  0
 0  0 265984 475344  40488 962680    0    0     0     0 5394  524  0 32 68  0  0
 0  0 265984 475352  40488 962684    0    0     0     0 5249  482  1 27 72  0  0
 0  0 265984 475352  40488 962684    0    0     0     0 6509  555  2 31 67  0  0
 0  0 265984 475352  40488 962688    0    0     0     0 6317  562  0 32 68  0  0
 0  0 265984 475352  40496 962692    0    0     0    16 6027  565  2 35 63  0  0
 0  0 265984 475352  40496 962696    0    0     0   124 6934  653  1 34 65  0  0
 0  0 265984 475352  40496 962700    0    0     0     0 5437  526  2 31 67  0  0
 0  0 265984 475352  40496 962704    0    0     0     0 5113  493  2 28 69  0  0
 0  0 265984 475344  40496 962708    0    0     0     0 5195  502  5 29 65  0  0
 0  0 265984 475352  40504 962712    0    0     0    32 5313  491  1 31 67  1  0
 0  0 265984 475320  40504 962716    0    0     0     0 6067  518  1 32 67  0  0
 0  0 265984 475352  40504 962720    0    0     0     0 5714  622  4 33 63  0  0
 0  0 265984 475352  40504 962720    0    0     0     0 6354  531  2 32 66  0  0
 0  0 265984 475352  40504 962724    0    0     0     0 6692  508  0 34 66  0  0
 1  0 265984 475344  40504 962728    0    0     0    16 6163  522  2 33 59  7  0
 0  0 265984 475352  40504 962732    0    0     0     0 5946  471  1 32 67  0  0
 0  0 265984 475344  40504 962736    0    0     0     0 5063  391  1 27 72  0  0
 0  0 265984 475352  40504 962740    0    0     0     0 5467  432  1 28 71  0  0
 0  0 265984 475344  40504 962748    0    0     0     0 5438  446  0 27 73  0  0
 0  0 265984 475344  40508 962752    0    0     0    16 5523  482  5 31 64  0  0
 0  0 265984 475344  40508 962756    0    0     0    64 6230  479  0 31 69  0  0
 0  0 265984 475352  40508 962756    0    0     0     0 5623  427  2 29 68  0  0
 0  0 265984 475344  40512 962760    0    0     0    52 6377  474  1 31 67  1  0
 0  0 265984 475352  40512 962768    0    0     0     0 5289  472  1 33 66  0  0
 0  0 265984 475344  40512 962772    0    0     0     0 6335  465  1 33 66  0  0
 0  0 265984 475344  40512 962776    0    0     0     0 6517  511  1 35 64  0  0
11  0 265984 463576  40524 962776    0    0     0    96 5554  889  4 33 61  2  0
 0  0 265984 456952  40524 962828    0    0     0     0 5084  807  4 30 66  0  0
 0  0 265984 456960  40524 962832    0    0     0     0 5624  445  1 30 69  0  0
 0  0 265984 456960  40524 962836    0    0     0     0 5998  428  1 30 69  0  0
 0  0 265984 472956  40524 962840    0    0     0     0 5317  560  6 28 66  0  0
 0  0 265984 472956  40524 962840    0    0     0     0 6534  441  0 31 69  0  0
 0  0 265984 472956  40532 962844    0    0     0    28 6068  466  2 31 59  8  0
 0  0 265984 472940  40532 962848    0    0     0     0 6059  504  2 32 66  0  0
 0  0 265984 472948  40532 962852    0    0     0     0 5797  511  1 35 64  0  0
 0  0 265984 472956  40532 962856    0    0     0     0 6093  433  0 31 69  0  0
 0  0 265984 472948  40532 962860    0    0     0     0 6427  450  3 31 66  0  0
 0  0 265984 461600  40540 962816    0    0     0    16 6547  842  7 36 57  0  0
 0  0 265984 461348  40540 962820    0    0     0     0 5506  483  1 30 69  0  0
 0  0 265984 461348  40540 962824    0    0     0     0 6325  487  1 34 65  0  0
 0  0 265984 461348  40540 962828    0    0     0     0 5489  415  1 29 69  0  0
 0  0 265984 474320  40540 962828    0    0     0     0 6113  589  9 33 57  0  0
 0  0 265984 474320  40548 962832    0    0     0    28 5168  422  3 27 70  0  0
