procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2269604  52212 937588    0    0     0     0 5743  738  1  2 97  0  0
 1  0      0 2268936  52220 937580    0    0     0    16 6371  918  0  2 98  0  0
 0  0      0 2268240  52220 937600    0    0     0     0 6285  695  0  3 97  0  0
 1  0      0 2268492  52220 937600    0    0     0     0 6356  807  1  2 97  0  0
 0  0      0 2269540  52220 937604    0    0     0     0 6152  737  0  4 96  0  0
 0  0      0 2269064  52220 937604    0    0     0     0 3739  658  0  3 97  0  0
 3  0      0 2268896  52228 937604    0    0     0    16 5282  724  1  3 96  0  0
 2  0      0 2268848  52228 937612    0    0     0     0 6294  703  0  3 97  0  0
 0  0      0 2270004  52228 937616    0    0     0     0 6147  825  1  2 97  0  0
 2  0      0 2268732  52228 937616    0    0     0     0 4536  696  0  2 98  0  0
 1  0      0 2267920  52228 937620    0    0     0     0 6019  728  0  3 97  0  0
 0  0      0 2266440  52236 937616    0    0     0   120 5310  743  0  2 98  0  0
 0  0      0 2267568  52236 937624    0    0     0     0 5736  654  1  3 97  0  0
 0  0      0 2268168  52236 937628    0    0     0     0 6118  731  0  2 98  0  0
 0  0      0 2268120  52236 937632    0    0     0     0 4001  650  0  1 99  0  0
 0  0      0 2269708  52236 937632    0    0     0     0 4848  734  1  3 96  0  0
 0  0      0 2268840  52244 937632    0    0     0    36 4657  705  0  1 98  0  0
 0  0      0 2268712  52244 937636    0    0     0     0 5497  705  0  3 97  0  0
 0  0      0 2267976  52244 937640    0    0     0     0 6292  720  0  3 97  0  0
 0  0      0 2267512  52244 937644    0    0     0     0 6150  657  0  1 99  0  0
 0  0      0 2269088  52244 937652    0    0     0     0 6232  681  0  3 97  0  0
 1  0      0 2269136  52244 937656    0    0     0     0 4348  652  0  2 98  0  0
 1  0      0 2269112  52252 937648    0    0     0    16 5172  691  0  3 97  0  0
 0  0      0 2268360  52252 937652    0    0     0     0 5545  737  0  2 98  0  0
 0  0      0 2267656  52252 937656    0    0     0     0 6225  672  0  3 97  0  0
 2  0      0 2267760  52252 937656    0    0     0     0 6282  718  0  1 99  0  0
 1  0      0 2269088  52252 937664    0    0     0     0 6093  561  0  2 98  0  0
 0  0      0 2269160  52260 937664    0    0     0    16 4827  772  0  2 97  0  0
 1  0      0 2269288  52260 937668    0    0     0     0 2916  579  0  1 99  0  0
 0  0      0 2268712  52260 937668    0    0     0     0 3259  609  0  2 98  0  0
 0  0      0 2269668  52260 937672    0    0     0     0 5213  669  0  2 98  0  0
 0  0      0 2269880  52260 937676    0    0     0     0 5723  718  1  2 98  0  0
 0  0      0 2269352  52268 937668    0    0     0    16 4372  608  0  2 98  0  0
 0  0      0 2268200  52268 937692    0    0     0     0 6214  743  0  3 97  0  0
 0  0      0 2268072  52268 937696    0    0     0     0 5878  689  0  3 97  0  0
 1  0      0 2268480  52268 937696    0    0     0     0 6233  704  0  2 98  0  0
 0  0      0 2268864  52268 937700    0    0     0     0 6229  757  1  2 97  0  0
 0  0      0 2270008  52276 937696    0    0     0    16 5916  741  0  2 98  0  0
 0  0      0 2269904  52276 937696    0    0     0     0 4423  634  0  2 98  0  0
 1  0      0 2268280  52276 937708    0    0     0     0 5379  685  0  3 97  0  0
 0  0      0 2267572  52276 937712    0    0     0     0 6063  695  1  3 97  0  0
 1  0      0 2267884  52276 937712    0    0     0     0 5614  711  0  3 97  0  0
 0  0      0 2269496  52284 937708    0    0     0   116 5598  620  0  2 98  0  0
 0  0      0 2268600  52284 937720    0    0     0     0 4083  608  1  2 97  0  0
 2  0      0 2268828  52284 937728    0    0     0     0 5984  611  0  2 97  0  0
 0  0      0 2268788  52284 937728    0    0     0     0 6195  685  0  3 97  0  0
 0  0      0 2268428  52284 937732    0    0     0     0 5498  594  0  1 99  0  0
 0  0      0 2268284  52292 937732    0    0     0    64 5364  798  1  3 96  0  0
 0  0      0 2269248  52292 937740    0    0     0     0 6052  551  0  2 98  0  0
 1  0      0 2267960  52292 937740    0    0     0     0 5551  695  0  3 96  0  0
 0  0      0 2268640  52292 937744    0    0     0     0 5402  583  0  2 98  0  0
 1  0      0 2269432  52292 937748    0    0     0     0 5215  678  0  2 98  0  0
 1  0      0 2266760  52300 937740    0    0     0    16 5001  660  0  2 97  0  0
 0  0      0 2267296  52300 937752    0    0     0     0 6138  601  0  3 97  0  0
 0  0      0 2269488  52300 937752    0    0     0     0 5981  630  0  3 97  0  0
 0  0      0 2268152  52300 937756    0    0     0     0 5188  805  0  2 98  0  0
 0  0      0 2268804  52300 937760    0    0     0     0 5379  735  0  2 98  0  0
 0  0      0 2269064  52308 937756    0    0     0    16 5862  895  0  3 97  0  0
 0  0      0 2269400  52308 937768    0    0     0     0 4795  799  1  3 97  0  0
 1  0      0 2268592  52308 937768    0    0     0     0 3284  644  0  2 98  0  0
 1  0      0 2269772  52308 937772    0    0     0     0 3674  649  0  2 98  0  0
 0  0      0 2268176  52308 937776    0    0     0     0 4271  692  0  1 98  0  0
 0  0      0 2267472  52316 937776    0    0     0    16 5747  734  0  3 97  0  0
 0  0      0 2268788  52316 937780    0    0     0     0 5867  686  0  2 98  0  0
 0  0      0 2269448  52316 937784    0    0     0     0 5158  687  1  2 98  0  0
 1  0      0 2268296  52316 937788    0    0     0     0 4161  673  0  2 98  0  0
 0  0      0 2268976  52316 937788    0    0     0     0 6004  659  1  2 98  0  0
 0  0      0 2267652  52324 937792    0    0     0    16 6299  732  0  1 98  0  0
