timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610623036685,47,HTTP Request - YouTube Pag3,200,OK,Thread Group - Fast High 3-3,text,true,,4093143,132,20,60,http://192.168.56.101/YouTubePag3.html,3,0,0
1610623036655,80,HTTP Request - YouTube Pag1,200,OK,Thread Group - Slow High 1-9,text,true,,5096468,132,20,60,http://192.168.56.101/YouTubePag1.html,3,0,1
1610623036691,57,HTTP Request - YouTube Pag2,200,OK,Thread Group - Fast Low 4-9,text,true,,4036890,132,10,60,http://192.168.56.101/YouTubePag2.html,10,0,0
1610623037151,35,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Slow High 1-10,text,true,,1549878,135,20,60,http://192.168.56.101/RepubblicaPag1.html,3,0,1
1610623037184,5,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Fast High 3-16,text,true,,158621,134,20,60,http://192.168.56.101/WikipediaPag1.html,3,0,0
1610623037177,72,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Slow Low 2-10,text,true,,1549878,135,10,60,http://192.168.56.101/RepubblicaPag1.html,4,0,1
1610623037199,54,HTTP Request - Repubblica Pag3,200,OK,Thread Group - Fast High 3-4,text,true,,1517285,135,20,60,http://192.168.56.101/RepubblicaPag3.html,2,0,0
1610623037189,68,HTTP Request - YouTube Pag2,200,OK,Thread Group - Fast High 3-10,text,true,,4036890,132,20,60,http://192.168.56.101/YouTubePag2.html,0,0,0
1610623037199,81,HTTP Request - YouTube Pag3,200,OK,Thread Group - Fast Low 4-4,text,true,,4093143,132,10,60,http://192.168.56.101/YouTubePag3.html,13,0,0
1610623037190,96,HTTP Request - YouTube Pag2,200,OK,Thread Group - Fast Low 4-10,text,true,,4036890,132,10,60,http://192.168.56.101/YouTubePag2.html,3,0,0
1610623037649,15,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Slow High 1-11,text,true,,1549878,135,20,60,http://192.168.56.101/RepubblicaPag1.html,3,0,1
1610623037663,2,HTTP Request - Wikipedia Pag3,200,OK,Thread Group - Fast High 3-5,text,true,,135089,134,20,60,http://192.168.56.101/WikipediaPag3.html,1,0,0
1610623037691,14,HTTP Request - Repubblica Pag2,200,OK,Thread Group - Fast High 3-11,text,true,,1542999,135,20,60,http://192.168.56.101/RepubblicaPag2.html,1,0,0
